"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1667.79091744694,1667.79091744694,51701.5,30,31,31,6200517.89732143,928.46820368585,16.0976136292473,16.0976136292473
2,1667.79091744694,1667.79091744694,51701.5,23.6714580986892,31,31,5253038.39674131,972.971713067584,16.0976136292473,16.0976136292473
3,1667.79091744694,1667.79091744694,51701.5,21.9441217684854,31,31,2715116.94889675,729.594350344993,16.0976136292473,16.0976136292473
4,1667.79091744694,1667.79091744694,51701.5,17.7750878352548,31,31,2310009.51496851,758.062468148762,16.0976136292473,16.0976136292473
5,1667.79091744694,1667.79091744694,51701.4,14.9224082112944,31,31,2021286.56908597,784.813136590935,16.0976136292473,16.0976136292473
6,1667.79091744694,1667.79091744694,51701.5,13.7816572987664,31,31,1940113.06164726,805.921636496105,16.0976136292473,16.0976136292473
7,1667.79091744694,1667.79091744694,51701.4,10.072478977589,31,31,1678242.86400385,908.61110120642,16.0976136292473,16.0976136292473
8,1667.79091744694,1667.79091744694,51701.5,9.14358080113623,31,31,1597069.35656515,943.165541405009,16.0976136292473,16.0976136292473
9,1667.79091744694,1667.79091744694,51701.5,9.42358268456135,31,31,1632863.6898175,935.237712852016,16.0976136292473,16.0976136292473
