"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,20.9277163451392,20.9277163451392,627.8,29,30,30,989.685637876403,11.9479036981545,0.3826166016,0.3826166016
2,20.9277163451392,20.9277163451392,627.8,7.23795093665316,30,30,575.679805061243,20.948725395185,0.3826166016,0.3826166016
3,20.9277163451392,20.9277163451392,627.8,7.5667968209524,30,30,590.917479815111,20.5831486552995,0.3826166016,0.3826166016
4,20.9277163451392,20.9277163451392,627.8,6.39434893736338,30,30,577.818737361949,22.9169943464135,0.3826166016,0.3826166016
5,20.9277163451392,20.9277163451392,627.8,6.32332667799348,30,30,574.608432454045,23.039446283635,0.3826166016,0.3826166016
6,20.9277163451392,20.9277163451392,627.8,6.24832910621424,30,30,571.493101852832,23.1777937774545,0.3826166016,0.3826166016
7,20.9277163451392,20.9277163451392,627.7,6.24588208801053,30,30,571.381796376326,23.1821757532552,0.3826166016,0.3826166016
8,20.9277163451392,20.9277163451392,627.8,6.23070167465163,30,30,571.883099703689,23.2336704766399,0.3826166016,0.3826166016
9,20.9277163451392,20.9277163451392,627.8,6.46905047895167,30,30,585.015586386427,22.866295532525,0.3826166016,0.3826166016
