"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,130.953873430985,131.037533535128,4062.2,28,29,31,202044.080878473,174.004440570644,1.68233374366452,1.68715058411034
2,1,194.084348068387,194.273209017945,3496.9,15,16,18,521.450464386048,226.208261271587,2.25855701364444,2.3393154457
2,2,45.5499454425413,45.5499454425413,592.1,12,13,13,6.19461715175273,20.3507251323943,0.884486139076923,0.884486139076923
3,1,152.971410458049,153.279371028899,2299.2,12,13,15,190.621461085583,130.258615240132,2.13604713146667,2.21659445058462
3,2,384.256588454283,384.256588454283,1152.8,2,3,3,2392.07535315192,446.405955938308,2.87110642453333,2.87110642453333
3,3,45.5499454425413,45.5499454425413,592.1,12,13,13,6.19461715175273,20.3507251323943,0.884486139076923,0.884486139076923
4,1,415.004678969472,415.004678969472,1245,2,3,3,858.119185279419,267.372266794044,4.95761095466667,4.95761095466667
4,2,83.9953938373472,83.967839045787,1007.6,9,10,12,8.23087143028886,25.9600589547808,1.43065617566667,1.39428949936
4,3,384.256588454283,384.256588454283,1152.8,2,3,3,2392.07535315192,446.405955938308,2.87110642453333,2.87110642453333
4,4,45.5499454425413,45.5499454425413,592.1,12,13,13,6.19461715175273,20.3507251323943,0.884486139076923,0.884486139076923
5,1,415.004678969472,415.004678969472,1245,2,3,3,858.119185279419,267.372266794044,4.95761095466667,4.95761095466667
5,2,83.9953938373472,83.967839045787,1007.6,9,10,12,8.23087143028886,25.9600589547808,1.43065617566667,1.39428949936
5,3,384.256588454283,384.256588454283,1152.8,2,3,3,2392.07535315192,446.405955938308,2.87110642453333,2.87110642453333
5,4,67.8474777536156,67.8474777536156,271.4,3,4,4,9.02114641545774,22.0745223300694,1.1178906304,1.1178906304
5,5,35.6399310820639,35.6399310820639,320.8,8,9,9,2.77357979395128,12.2201892030995,0.7807508096,0.7807508096
6,1,415.004678969472,415.004678969472,1245,2,3,3,858.119185279419,267.372266794044,4.95761095466667,4.95761095466667
6,2,90.8890169669273,90.9234015166583,636.5,4,5,7,9.17258933915602,29.4308707016739,1.66406405748571,1.6846938576
6,3,71.7047428891291,71.7047428891291,358.5,4,5,5,2.73422557100464,11.4774727454411,1.10388514112,1.10388514112
6,4,384.256588454283,384.256588454283,1152.8,2,3,3,2392.07535315192,446.405955938308,2.87110642453333,2.87110642453333
6,5,67.8474777536156,67.8474777536156,271.4,3,4,4,9.02114641545774,22.0745223300694,1.1178906304,1.1178906304
6,6,35.6399310820639,35.6399310820639,320.8,8,9,9,2.77357979395128,12.2201892030995,0.7807508096,0.7807508096
7,1,415.004678969472,415.004678969472,1245,2,3,3,858.119185279419,267.372266794044,4.95761095466667,4.95761095466667
7,2,90.8890169669273,90.9234015166583,636.5,4,5,7,9.17258933915602,29.4308707016739,1.66406405748571,1.6846938576
7,3,71.7047428891291,71.7047428891291,358.5,4,5,5,2.73422557100464,11.4774727454411,1.10388514112,1.10388514112
7,4,384.256588454283,384.256588454283,1152.8,2,3,3,2392.07535315192,446.405955938308,2.87110642453333,2.87110642453333
7,5,72.0527437032929,72.0527437032929,216.2,2,3,3,11.8453395169004,31.4134986869353,1.15959183786667,1.15959183786667
7,6,50.4818863830835,50.4818863830835,151.4,2,3,3,2.00175159859761,12.9136093425657,0.95144448,0.95144448
7,7,32.0779143562726,32.0779143562726,224.5,6,7,7,2.62185638168239,11.3225745398994,0.737887264914286,0.737887264914286
8,1,415.004678969472,415.004678969472,1245,2,3,3,858.119185279419,267.372266794044,4.95761095466667,4.95761095466667
8,2,90.8890169669273,90.9234015166583,636.5,4,5,7,9.17258933915602,29.4308707016739,1.66406405748571,1.6846938576
8,3,71.7047428891291,71.7047428891291,358.5,4,5,5,2.73422557100464,11.4774727454411,1.10388514112,1.10388514112
8,4,384.256588454283,384.256588454283,1152.8,2,3,3,2392.07535315192,446.405955938308,2.87110642453333,2.87110642453333
8,5,72.0527437032929,72.0527437032929,216.2,2,3,3,11.8453395169004,31.4134986869353,1.15959183786667,1.15959183786667
8,6,50.4818863830835,50.4818863830835,151.4,2,3,3,2.00175159859761,12.9136093425657,0.95144448,0.95144448
8,7,34.2295308254269,34.2295308254269,102.7,2,3,3,4.9247280184759,20.2550666861963,0.818770833066667,0.818770833066667
8,8,30.4642020044068,30.4642020044068,121.9,3,4,4,5.72175715575048,17.5802545709345,0.6772245888,0.6772245888
9,1,415.004678969472,415.004678969472,1245,2,3,3,858.119185279419,267.372266794044,4.95761095466667,4.95761095466667
9,2,94.702411481374,94.8059343608037,568.8,3,4,6,13.7086516403699,40.8177515742554,1.7509020756,1.8201083348
9,3,70.1780183969772,70.1780183969772,210.5,2,3,3,5.46540739678732,21.3380054772639,1.135220512,1.135220512
9,4,71.4287033522058,71.4287033522058,214.3,2,3,3,7.65798031409373,25.2580416442939,1.08560003946667,1.08560003946667
9,5,384.256588454283,384.256588454283,1152.8,2,3,3,2392.07535315192,446.405955938308,2.87110642453333,2.87110642453333
9,6,72.0527437032929,72.0527437032929,216.2,2,3,3,11.8453395169004,31.4134986869353,1.15959183786667,1.15959183786667
9,7,50.4818863830835,50.4818863830835,151.4,2,3,3,2.00175159859761,12.9136093425657,0.95144448,0.95144448
9,8,34.2295308254269,34.2295308254269,102.7,2,3,3,4.9247280184759,20.2550666861963,0.818770833066667,0.818770833066667
9,9,30.4642020044068,30.4642020044068,121.9,3,4,4,5.72175715575048,17.5802545709345,0.6772245888,0.6772245888
