"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,22,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,22,25,31,NA,NA,NA,NA,NA,NA,NA,NA
1,4,22,25,31,NA,NA,NA,NA,NA,NA,NA
1,4,22,25,28,31,NA,NA,NA,NA,NA,NA
1,5,19,22,25,28,31,NA,NA,NA,NA,NA
1,4,7,19,22,25,28,31,NA,NA,NA,NA
1,4,7,10,19,22,25,28,31,NA,NA,NA
1,4,7,10,16,19,22,25,28,31,NA,NA
