"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,445.125545670823,445.451425508041,12472.6,25,26,28,2237539.23281737,616.148295097837,3.31452324099048,3.24632054266667
2,435.042929545532,435.207507244369,12185.8,22.8846396968196,26,28,1055840.076729,444.464216631771,3.31452324099048,3.1812244687609
3,428.767539183406,428.99012068657,12011.8,8.2818301395677,26,28,434412.455647004,525.026712467244,3.31452324099048,3.19158439044935
4,428.767539183406,428.99012068657,12011.8,5.43115935306089,26,28,202262.707352008,484.455963928896,3.31452324099048,3.19158439044935
5,429.343416207493,429.467124291436,12025.2,3.82021948317817,26,28,164945.275364412,587.785820967076,3.31452324099048,3.25075077651221
6,428.978207803119,429.05364832955,12013.5,3.1630931823072,26,28,148580.700509993,670.052147252926,3.31452324099048,3.26590113230159
7,429.227575636716,429.324060592449,12021.1,3.11285428037392,26,28,147393.517316734,678.51307721163,3.31452324099048,3.32900871688571
8,424.181930002181,424.269709926027,11879.6,3.27722382606717,26,28,151779.300650305,653.243295051766,3.31452324099048,3.21332894238095
