"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,905.006668518894,905.006668518894,28055.2,30,31,31,12103438.9271043,1297.20150643612,6.16612721985376,6.16612721985376
2,905.006668518894,905.006668518894,28055.2,7.47100485277228,31,31,3976764.56018933,1703.38711031214,6.16612721985376,6.16612721985376
3,905.006668518894,905.006668518894,28055.2,3.60392839098199,31,31,2711882.00870696,2516.50980512405,6.16612721985376,6.16612721985376
4,905.006668518894,905.006668518894,28055.2,3.51494809646417,31,31,2678286.35787316,2561.35700341018,6.16612721985376,6.16612721985376
5,905.006668518894,905.006668518894,28055.2,3.51342796825375,31,31,2677707.21989879,2562.14734210729,6.16612721985376,6.16612721985376
6,905.006668518894,905.006668518894,28055.2,3.51315876623321,31,31,2677604.63018015,2562.28738681916,6.16612721985376,6.16612721985376
7,905.006668518894,905.006668518894,28055.1,3.51290430233345,31,31,2677507.65410169,2562.41978972133,6.16612721985376,6.16612721985376
8,905.006668518894,905.006668518894,28055.1,3.51288020595229,31,31,2677498.47172367,2562.4323292719,6.16612721985376,6.16612721985376
9,905.006668518894,905.006668518894,28055.1,3.51311632284966,31,31,2677588.46105355,2562.30947208513,6.16612721985376,6.16612721985376
