"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,119,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,119,137,365,NA,NA,NA,NA,NA,NA,NA,NA
1,120,141,175,365,NA,NA,NA,NA,NA,NA,NA
1,119,134,148,207,365,NA,NA,NA,NA,NA,NA
1,73,119,140,150,162,365,NA,NA,NA,NA,NA
1,100,119,128,144,193,317,365,NA,NA,NA,NA
1,119,126,138,199,320,331,350,365,NA,NA,NA
1,87,120,127,133,142,204,222,254,365,NA,NA
1,89,120,127,136,148,214,245,264,316,365,NA
1,31,46,119,124,128,143,147,171,226,284,365
1,25,84,119,128,136,169,204,229,298,306,331
1,7,69,86,119,127,143,155,211,225,256,328
1,97,111,119,127,142,149,152,188,211,230,316
