"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,167,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,167,204,366,NA,NA,NA,NA,NA,NA,NA,NA
1,73,159,167,366,NA,NA,NA,NA,NA,NA,NA
1,74,102,167,331,366,NA,NA,NA,NA,NA,NA
1,88,98,167,255,329,366,NA,NA,NA,NA,NA
1,75,98,115,167,209,235,366,NA,NA,NA,NA
1,34,76,98,167,181,242,334,366,NA,NA,NA
1,15,44,81,96,162,167,197,306,366,NA,NA
1,39,65,69,94,115,167,181,319,362,366,NA
1,69,96,128,137,154,167,198,220,257,335,366
1,12,53,65,74,103,130,158,167,188,212,284
1,41,54,64,69,104,139,154,161,167,265,279
1,20,42,65,68,97,160,167,186,205,242,271
