"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,78,284,365,NA,NA,NA,NA,NA,NA,NA,NA
1,77,283,302,365,NA,NA,NA,NA,NA,NA,NA
1,37,76,285,314,365,NA,NA,NA,NA,NA,NA
1,77,147,207,285,307,365,NA,NA,NA,NA,NA
1,27,76,145,285,301,336,365,NA,NA,NA,NA
1,36,83,151,206,228,285,301,365,NA,NA,NA
1,32,76,121,218,240,285,301,332,365,NA,NA
1,40,79,140,183,216,238,285,300,337,365,NA
1,21,87,129,165,191,210,282,305,322,346,365
1,26,65,110,145,182,198,239,263,296,320,350
1,5,11,27,38,42,51,79,220,250,276,304
1,8,12,23,28,38,42,115,154,227,244,275
