"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,65,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,65,130,365,NA,NA,NA,NA,NA,NA,NA,NA
1,58,73,326,365,NA,NA,NA,NA,NA,NA,NA
1,65,150,192,265,365,NA,NA,NA,NA,NA,NA
1,65,118,198,238,312,365,NA,NA,NA,NA,NA
1,65,128,195,218,243,320,365,NA,NA,NA,NA
1,44,65,150,202,220,253,323,365,NA,NA,NA
1,26,65,150,172,197,216,240,313,365,NA,NA
1,37,58,73,120,160,198,237,297,328,365,NA
1,28,58,73,133,171,218,238,265,300,318,365
1,26,58,74,120,153,176,194,216,268,292,315
1,5,11,27,38,42,51,79,220,250,276,304
1,8,12,23,28,38,42,115,154,227,244,275
