"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,248,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,267,298,365,NA,NA,NA,NA,NA,NA,NA,NA
1,122,268,298,365,NA,NA,NA,NA,NA,NA,NA
1,47,122,250,298,365,NA,NA,NA,NA,NA,NA
1,85,220,245,266,302,365,NA,NA,NA,NA,NA
1,30,95,220,249,298,325,365,NA,NA,NA,NA
1,24,41,116,162,220,268,298,365,NA,NA,NA
1,61,108,143,193,227,243,266,301,365,NA,NA
1,20,88,148,172,220,250,276,302,325,365,NA
1,20,42,70,92,160,227,243,267,300,331,365
1,17,22,40,64,134,174,220,243,269,304,327
1,5,11,27,38,42,51,79,220,250,276,304
1,8,12,23,28,38,42,115,154,227,244,275
