"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,134,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,241,267,365,NA,NA,NA,NA,NA,NA,NA,NA
1,242,267,332,365,NA,NA,NA,NA,NA,NA,NA
1,44,233,262,292,365,NA,NA,NA,NA,NA,NA
1,117,153,235,265,294,365,NA,NA,NA,NA,NA
1,61,102,168,245,266,295,365,NA,NA,NA,NA
1,19,66,114,160,233,267,295,365,NA,NA,NA
1,61,118,172,237,267,294,316,346,365,NA,NA
1,32,59,112,179,200,245,266,289,331,365,NA
1,17,40,66,117,139,167,204,245,263,291,365
1,26,65,110,145,182,198,239,263,296,320,350
1,5,11,27,38,42,51,79,220,250,276,304
1,8,12,23,28,38,42,115,154,227,244,275
