"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,200,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,213,263,365,NA,NA,NA,NA,NA,NA,NA,NA
1,54,239,261,365,NA,NA,NA,NA,NA,NA,NA
1,45,254,270,295,365,NA,NA,NA,NA,NA,NA
1,50,80,235,270,300,365,NA,NA,NA,NA,NA
1,63,133,241,263,296,356,365,NA,NA,NA,NA
1,20,56,109,221,263,297,328,365,NA,NA,NA
1,49,109,138,202,263,269,295,318,365,NA,NA
1,6,21,41,111,137,211,263,297,353,365,NA
1,53,88,121,229,263,278,285,293,296,332,365
1,55,100,128,156,183,210,250,261,269,300,329
1,10,42,49,87,123,161,215,261,265,295,303
1,31,52,115,231,236,251,261,270,276,284,326
