"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,532.226783454515,531.323265036185,193933,43,44,365,413690775.789376,6255.23037891232,2.15967002472955,2.50028334109091
2,542.313823750507,538.815955683074,196667.8,38.6632822417812,44,365,330295910.166416,5913.61038324352,2.15967002472955,2.50332786923349
3,548.108671540778,544.958823964766,198909.9,9.49095590977741,44,365,273484612.720802,12048.1486321076,2.15967002472955,2.52902378167445
4,555.62593192893,557.135535601261,203354.4,2.896266081891,44,365,276750457.084497,31748.9307660378,2.15967002472955,2.17875904643048
5,546.038609528326,541.565133503321,197671.3,13.1036434053018,44,365,261275971.744719,9639.01163863904,2.15967002472955,2.50501627459604
6,551.538751486921,547.369398694184,199789.8,7.27135980452645,44,365,262086356.065327,14089.6485696213,2.15967002472955,2.52559782131921
7,546.695049109639,543.057720861317,198216.1,8.60815719981382,44,365,260754183.482481,12537.3299606688,2.15967002472955,2.52199874741918
8,550.985029994087,546.732520685611,199557.3,11.3599315052509,44,365,247286836.390371,10229.4802650943,2.15967002472955,2.4570665640701
9,551.127290304101,548.525199529456,200211.8,10.4408733023515,44,365,231358270.274635,10428.8478139125,2.15967002472955,2.5053373190098
10,557.526193494076,557.306180569994,203416.8,2.51751843124579,44,365,258112161.763437,36015.7184646233,2.15967002472955,2.18632836165845
11,554.987914488374,558.203514686862,203744.5,2.91663948870131,44,365,278863180.118939,31627.5079019682,2.15967002472955,2.03954221638721
12,551.063959007652,551.351481256884,201243.2,2.32095065533969,44,365,276293462.471717,41241.2026518417,2.15967002472955,2.16002732991708
