"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,155,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,96,155,366,NA,NA,NA,NA,NA,NA,NA,NA
1,47,97,156,366,NA,NA,NA,NA,NA,NA,NA
1,96,128,155,328,366,NA,NA,NA,NA,NA,NA
1,53,97,156,280,324,366,NA,NA,NA,NA,NA
1,52,105,155,260,293,316,366,NA,NA,NA,NA
1,24,46,104,127,155,281,302,366,NA,NA,NA
1,26,43,97,160,264,286,306,337,366,NA,NA
1,32,59,112,179,200,245,266,289,331,365,NA
1,17,40,66,117,139,167,204,245,263,291,365
1,26,65,110,145,182,198,239,263,296,320,350
1,5,11,27,38,42,51,79,220,250,276,304
1,8,12,23,28,38,42,115,154,227,244,275
