"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,10,30,NA,NA,NA,NA,NA,NA,NA,NA
1,7,10,13,30,NA,NA,NA,NA,NA,NA,NA
1,7,10,13,25,30,NA,NA,NA,NA,NA,NA
1,7,10,13,17,25,30,NA,NA,NA,NA,NA
1,4,7,10,13,17,25,30,NA,NA,NA,NA
1,4,7,10,13,16,22,25,30,NA,NA,NA
1,4,7,10,13,16,19,22,25,30,NA,NA
