"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,7624.56405843424,7624.56405843424,236361.5,30,31,31,2112965778.56243,17139.5448353853,1.41084041015054,1.41084041015054
2,7624.56405843424,7624.56405843424,236361.4,26.0392386531365,31,31,1912628607.93597,17615.4212505493,1.41084041015054,1.41084041015054
3,7624.56405843424,7624.56405843424,236361.5,26.9418201010065,31,31,1487780236.76485,15248.9975998929,1.41084041015054,1.41084041015054
4,7624.56405843424,7624.56405843424,236361.5,22.29466548556,31,31,1284327617.80972,15728.4857873948,1.41084041015054,1.41084041015054
5,7624.56405843424,7624.56405843424,236361.5,20.7085819732623,31,31,1224464419.38615,16004.8967273198,1.41084041015054,1.41084041015054
6,7624.56405843424,7624.56405843424,236361.5,8.20774410840512,31,31,1200383589.62728,27765.0248841864,1.41084041015054,1.41084041015054
7,7624.56405843424,7624.56405843424,236361.6,7.57969551256121,31,31,1152361763.34967,28710.1815920486,1.41084041015054,1.41084041015054
8,7624.56405843424,7624.56405843424,236361.6,7.60539618388488,31,31,1154413360.65991,28669.2018394136,1.41084041015054,1.41084041015054
9,7624.56405843424,7624.56405843424,236361.6,7.62834748553994,31,31,1156425056.81291,28635.0877828565,1.41084041015054,1.41084041015054
