"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,43348.3437143524,43348.3437143524,1300450.3,29,30,30,81937339068.3791,108713.632565734,6.19469014257778,6.19469014257778
2,43348.3437143524,43348.3437143524,1300450.3,12.0813946106855,30,30,64524500426.7773,159110.669504746,6.19469014257778,6.19469014257778
3,43348.3437143524,43348.3437143524,1300450.3,5.67575511865393,30,30,32573268611.343,187966.531528181,6.19469014257778,6.19469014257778
4,43348.3437143524,43348.3437143524,1300450.2,3.7566360985195,30,30,25507045682.6045,234746.144963326,6.19469014257778,6.19469014257778
5,43348.3437143524,43348.3437143524,1300450.2,3.5970208307166,30,30,24972090508.1357,241925.518524536,6.19469014257778,6.19469014257778
6,43348.3437143524,43348.3437143524,1300450.2,3.58786491391289,30,30,24940295397.3098,242357.923288507,6.19469014257778,6.19469014257778
7,43348.3437143524,43348.3437143524,1300450.2,3.58276350953859,30,30,24922555427.1158,242600.013080532,6.19469014257778,6.19469014257778
8,43348.3437143524,43348.3437143524,1300450.2,3.58276984107292,30,30,24922577450.3234,242599.712067518,6.19469014257778,6.19469014257778
9,43348.3437143524,43348.3437143524,1300450.3,3.70060660779154,30,30,26772645617.3783,243884.85256427,6.19469014257778,6.19469014257778
