"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,103629.879368669,103629.879368669,3212526.3,30,31,31,392178774768.417,233504.414487322,12.4535846201462,12.4535846201462
2,103629.879368669,103629.879368669,3212526.3,13.4038880227947,31,31,271051955466.851,306274.050618282,12.4535846201462,12.4535846201462
3,103629.879368669,103629.879368669,3212526.3,9.65877033222499,31,31,228938632519.495,344686.754348611,12.4535846201462,12.4535846201462
4,103629.879368669,103629.879368669,3212526.3,5.36554134645839,31,31,179116389956.74,460206.604950032,12.4535846201462,12.4535846201462
5,103629.879368669,103629.879368669,3212526.3,5.10230103259749,31,31,174640750426.098,472723.634016892,12.4535846201462,12.4535846201462
6,103629.879368669,103629.879368669,3212526.3,4.89641119344512,31,31,171065569065.6,483551.88800266,12.4535846201462,12.4535846201462
7,103629.879368669,103629.879368669,3212526.3,4.88613797892066,31,31,170885919528.832,484119.615067233,12.4535846201462,12.4535846201462
8,103629.879368669,103629.879368669,3212526.3,4.88387186728237,31,31,170846285507.96,484245.231521023,12.4535846201462,12.4535846201462
9,103629.879368669,103629.879368669,3212526.3,4.88317400391365,31,31,170834078038.701,484283.941902011,12.4535846201462,12.4535846201462
