"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,26185.7159575969,26185.7159575969,811757.2,30,31,31,53248485509.1799,86041.2443904031,2.96909716765591,2.96909716765591
2,26185.7159575969,26185.7159575969,811757.2,5.0449353443157,31,31,21665038807.2716,168004.494687691,2.96909716765591,2.96909716765591
3,26185.7159575969,26185.7159575969,811757.2,3.62341969174368,31,31,18405840205.1233,206263.320992357,2.96909716765591,2.96909716765591
4,26185.7159575969,26185.7159575969,811757.1,3.62357856761072,31,31,18406254730.9588,206257.090185721,2.96909716765591,2.96909716765591
5,26185.7159575969,26185.7159575969,811757.1,3.62027445647619,31,31,18397862900.4495,206388.106213374,2.96909716765591,2.96909716765591
6,26185.7159575969,26185.7159575969,811757.1,3.61680669958655,31,31,18389120360.6659,206526.320248487,2.96909716765591,2.96909716765591
7,26185.7159575969,26185.7159575969,811757.1,3.61350569175856,31,31,18380728530.1565,206657.826239594,2.96909716765591,2.96909716765591
8,26185.7159575969,26185.7159575969,811757.1,3.61237162558112,31,31,18377843757.6124,206703.069748256,2.96909716765591,2.96909716765591
9,26185.7159575969,26185.7159575969,811757.1,3.61221423797347,31,31,18377443395.5769,206709.351675872,2.96909716765591,2.96909716765591
