"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,42224.3693662078,42399.4022591119,1314381.5,17,18,31,89409743249.2287,153007.407893727,9.91405175563355,6.07570321117037
2,39717.8268317186,40030.6647215307,1240950.7,6.09272067042038,18,31,65682698744.997,253126.82460698,9.91405175563355,9.65368266685018
3,39717.8268317186,40030.6647215307,1240950.6,5.08888211266491,18,31,59879552959.9554,277384.337352707,9.91405175563355,9.65368266685018
4,39717.8268317186,40030.6647215307,1240950.7,5.08888222993789,18,31,59879553649.916,277384.333872054,9.91405175563355,9.65368266685018
5,39717.8268317186,40030.6647215307,1240950.6,5.08888230870125,18,31,59879554113.3109,277384.331534364,9.91405175563355,9.65368266685018
