"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,89,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,87,110,366,NA,NA,NA,NA,NA,NA,NA,NA
1,89,97,110,366,NA,NA,NA,NA,NA,NA,NA
1,80,106,148,195,366,NA,NA,NA,NA,NA,NA
1,77,103,110,147,196,366,NA,NA,NA,NA,NA
1,86,101,160,169,188,320,366,NA,NA,NA,NA
1,86,109,163,169,189,266,333,366,NA,NA,NA
1,56,86,164,168,187,234,239,267,366,NA,NA
1,81,96,110,117,145,161,199,238,299,366,NA
1,20,29,89,96,148,163,168,215,281,352,366
1,23,34,89,94,108,122,154,157,181,195,345
1,72,89,94,110,130,145,170,181,214,265,297
1,11,44,55,82,86,108,164,168,173,192,238
