"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,222,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,200,223,365,NA,NA,NA,NA,NA,NA,NA,NA
1,77,198,224,365,NA,NA,NA,NA,NA,NA,NA
1,78,129,208,223,365,NA,NA,NA,NA,NA,NA
1,25,88,206,223,332,365,NA,NA,NA,NA,NA
1,26,83,125,208,223,246,365,NA,NA,NA,NA
1,22,82,204,223,244,284,308,365,NA,NA,NA
1,47,107,208,223,245,267,301,322,365,NA,NA
1,24,83,138,204,223,244,280,303,328,365,NA
1,27,84,152,187,206,224,250,282,322,344,365
1,33,63,109,135,168,184,223,251,279,303,339
1,7,37,54,74,85,135,161,224,250,290,314
1,12,40,43,58,61,77,135,163,183,225,285
