"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,149,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,149,219,365,NA,NA,NA,NA,NA,NA,NA,NA
1,120,156,212,365,NA,NA,NA,NA,NA,NA,NA
1,115,155,190,213,365,NA,NA,NA,NA,NA,NA
1,49,88,150,190,213,365,NA,NA,NA,NA,NA
1,51,87,154,191,214,319,365,NA,NA,NA,NA
1,58,84,152,187,217,250,321,365,NA,NA,NA
1,59,95,154,187,213,257,286,337,365,NA,NA
1,35,61,90,150,186,213,238,303,275,365,NA
1,30,55,76,118,154,187,219,264,289,333,365
1,26,58,74,116,153,174,194,216,268,292,315
1,7,37,54,74,85,135,161,224,250,290,314
1,12,40,43,58,61,77,135,163,183,225,285
