"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,137,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,122,174,365,NA,NA,NA,NA,NA,NA,NA,NA
1,76,134,153,365,NA,NA,NA,NA,NA,NA,NA
1,79,130,171,240,365,NA,NA,NA,NA,NA,NA
1,75,135,164,224,251,365,NA,NA,NA,NA,NA
1,40,79,136,163,224,314,365,NA,NA,NA,NA
1,32,77,133,154,182,224,346,365,NA,NA,NA
1,36,45,79,134,151,222,285,343,365,NA,NA
1,12,69,59,76,132,161,224,280,303,365,NA
1,5,24,65,75,135,152,226,267,320,337,365
1,37,42,52,57,63,73,132,157,190,221,298
1,7,37,54,74,85,135,161,224,250,290,314
1,12,40,43,58,61,77,135,163,183,225,285
