"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,218,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,84,219,365,NA,NA,NA,NA,NA,NA,NA,NA
1,84,140,230,365,NA,NA,NA,NA,NA,NA,NA
1,84,147,221,287,365,NA,NA,NA,NA,NA,NA
1,84,88,112,163,213,365,NA,NA,NA,NA,NA
1,84,112,131,169,220,305,365,NA,NA,NA,NA
1,58,84,114,121,149,168,211,365,NA,NA,NA
1,84,113,116,150,167,196,229,290,365,NA,NA
1,5,37,84,150,212,244,262,322,338,365,NA
1,13,66,84,114,150,156,182,207,228,331,365
1,9,84,110,146,150,161,187,201,215,236,268
1,14,47,51,84,108,113,149,196,206,268,294
1,15,84,103,114,118,127,146,149,169,202,255
