"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,276,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,176,200,365,NA,NA,NA,NA,NA,NA,NA,NA
1,176,208,275,365,NA,NA,NA,NA,NA,NA,NA
1,114,171,250,276,365,NA,NA,NA,NA,NA,NA
1,72,168,229,268,272,365,NA,NA,NA,NA,NA
1,73,146,172,201,216,276,365,NA,NA,NA,NA
1,57,142,171,235,216,268,272,365,NA,NA,NA
1,79,119,172,211,206,270,273,357,365,NA,NA
1,11,41,129,176,183,191,196,206,276,365,NA
1,42,121,149,173,184,201,249,270,273,289,365
1,28,32,78,158,163,173,196,206,243,275,289
1,60,102,119,136,190,195,205,220,262,268,273
1,20,62,117,124,139,174,204,226,262,270,276
