"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,105,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,105,153,366,NA,NA,NA,NA,NA,NA,NA,NA
1,101,154,184,366,NA,NA,NA,NA,NA,NA,NA
1,64,104,154,199,366,NA,NA,NA,NA,NA,NA
1,54,103,154,173,283,366,NA,NA,NA,NA,NA
1,58,104,154,172,291,312,366,NA,NA,NA,NA
1,35,63,105,154,169,283,305,366,NA,NA,NA
1,35,56,102,134,247,278,295,325,366,NA,NA
1,21,72,130,171,195,213,248,278,337,365,NA
1,35,64,90,134,153,177,213,255,307,333,365
1,33,63,109,135,168,184,223,251,279,303,339
1,7,37,54,74,85,135,161,224,250,290,314
1,12,40,43,58,61,77,135,163,183,225,285
